grid_id,lat,lon,district
GRID_00478,37.58234917824377,126.799099536239,강서구
GRID_00536,37.5607298812932,126.808784106418,강서구
GRID_00537,37.56515783155143,126.80773541602268,강서구
GRID_00538,37.5689710193602,126.80817960490576,강서구
GRID_00539,37.573417216405694,126.8075326406348,강서구
GRID_00540,37.5770435,126.8084341,강서구
GRID_00585,37.49521848,126.8157693,
GRID_00598,37.556610633694895,126.8134593709411,강서구
GRID_00599,37.55997405608112,126.812391497528,강서구
GRID_00600,37.56504154178188,126.8126365053662,강서구
GRID_00601,37.56922374024065,126.81203380721726,강서구
GRID_00602,37.57342036098368,126.812807491763,강서구
GRID_00603,37.57819309008846,126.81354151801136,강서구
GRID_00604,37.5807529,126.8125413,강서구
GRID_00643,37.475221075,126.8169894,
GRID_00644,37.479093275,126.8207341,
GRID_00645,37.48533999516265,126.820501148472,
GRID_00647,37.49296755969656,126.81931269360352,구로구
GRID_00648,37.49602699881799,126.81796612513178,구로구
GRID_00661,37.55644173040738,126.81582639184526,강서구
GRID_00662,37.56145236837978,126.8171250424754,강서구
GRID_00663,37.56551344197926,126.81733952833198,강서구
GRID_00664,37.56992845942535,126.817520629183,강서구
GRID_00665,37.57262016873201,126.81751364149136,강서구
GRID_00666,37.57806334798065,126.8169889161993,강서구
GRID_00706,37.4765475360742,126.822897390882,구로구
GRID_00707,37.47842359333333,126.82425473333336,구로구
GRID_00708,37.4839548443242,126.8222871716155,구로구
GRID_00709,37.48828261771739,126.82553863494512,구로구
GRID_00710,37.49297671965248,126.82324022818456,구로구
GRID_00711,37.49767199543816,126.82539810327894,구로구
GRID_00712,37.49997778218104,126.82663335496484,구로구
GRID_00716,37.5218628289967,126.8263631606604,
GRID_00717,37.522363952438326,126.82598655105284,
GRID_00719,37.53421174091043,126.82532986959004,양천구
GRID_00720,37.537262256206176,126.82558746734958,양천구
GRID_00721,37.540560826232245,126.826227539512,강서구
GRID_00722,37.54677514034441,126.8232966641201,강서구
GRID_00723,37.55147492333333,126.82466426666667,강서구
GRID_00724,37.55683645,126.8246167,강서구
GRID_00725,37.55922536,126.82200485,강서구
GRID_00726,37.564385310000006,126.8248069,강서구
GRID_00727,37.56939913212243,126.82359281464274,강서구
GRID_00728,37.57247751468432,126.82159999959144,강서구
GRID_00772,37.48825057169339,126.83117194633957,구로구
GRID_00773,37.49431354738972,126.83161007870196,구로구
GRID_00774,37.49763702380651,126.83012439201708,구로구
GRID_00775,37.5001468518268,126.83065091960772,구로구
GRID_00777,37.51163652,126.83031375,양천구
GRID_00778,37.51546854,126.82855135,양천구
GRID_00779,37.52098659110872,126.83127708694808,양천구
GRID_00780,37.52327026978848,126.83087426020865,양천구
GRID_00781,37.53046821746806,126.82973575759452,양천구
GRID_00782,37.53382829949348,126.83056030585573,양천구
GRID_00783,37.53756702868965,126.83007736758918,양천구
GRID_00784,37.54152330172445,126.82930145311605,강서구
GRID_00785,37.54549263448428,126.82973691963583,강서구
GRID_00786,37.551941485473854,126.83108069396684,강서구
GRID_00787,37.554628910232346,126.830326235227,강서구
GRID_00788,37.56023423333333,126.8282402,강서구
GRID_00790,37.56767963333333,126.82706366666666,강서구
GRID_00833,37.48060686,126.8379722,구로구
GRID_00834,37.48349907449064,126.8370952150274,구로구
GRID_00835,37.48842380706355,126.83615002983292,구로구
GRID_00836,37.49405950270501,126.8360074312558,구로구
GRID_00837,37.49700631914423,126.83632609237286,구로구
GRID_00838,37.50048958255445,126.83298035860052,구로구
GRID_00839,37.50578684,126.834918,양천구
GRID_00840,37.511904742457446,126.8356794107618,양천구
GRID_00841,37.51628746563525,126.83713152662092,양천구
GRID_00842,37.52051820235853,126.83554299076604,양천구
GRID_00843,37.52358398419004,126.83476989060162,양천구
GRID_00844,37.52865241409573,126.83575803382004,양천구
GRID_00845,37.53350435280575,126.83513235201556,양천구
GRID_00846,37.53797655568447,126.83575151069935,강서구
GRID_00847,37.54254541860656,126.83511559272624,강서구
GRID_00848,37.5466378362395,126.83476052550148,강서구
GRID_00849,37.551554547658505,126.83449088011476,강서구
GRID_00850,37.554543108442026,126.83575482842308,강서구
GRID_00851,37.5602668125,126.837166825,강서구
GRID_00854,37.57432086143823,126.83750556566716,강서구
GRID_00895,37.47671039,126.8425246,구로구
GRID_00896,37.48037034,126.83982603333334,구로구
GRID_00897,37.48440847333333,126.8404873,구로구
GRID_00898,37.48958254187016,126.8410276853367,구로구
GRID_00899,37.49322190004352,126.84109041628538,구로구
GRID_00900,37.49701087682104,126.84090612192507,구로구
GRID_00901,37.50252633916627,126.84233049758218,양천구
GRID_00902,37.50540079294885,126.84278518115734,양천구
GRID_00903,37.51153088120596,126.8414449358859,양천구
GRID_00904,37.515872829230105,126.83970925739932,양천구
GRID_00905,37.51999946511377,126.84076254479685,양천구
GRID_00906,37.52460387726976,126.84140020260858,양천구
GRID_00907,37.529384490497655,126.84101913301606,강서구
GRID_00908,37.53349721462417,126.84120219937284,강서구
GRID_00909,37.538040459150416,126.84064392621497,강서구
GRID_00910,37.542078923431376,126.84120094371023,강서구
GRID_00911,37.546448304657694,126.84277002392922,강서구
GRID_00912,37.55282790093536,126.83946494359878,강서구
GRID_00913,37.55547072283598,126.84064793180524,강서구
GRID_00914,37.56075950029545,126.84046476509792,강서구
GRID_00915,37.56517392454494,126.84072026025062,강서구
GRID_00916,37.57051497622289,126.84044399400032,강서구
GRID_00917,37.57235710993143,126.83986754532944,강서구
GRID_00960,37.48280876,126.84794396666666,구로구
GRID_00962,37.49384788954105,126.84792534754952,구로구
